fips_code,State,All Bed Occupancy Rate,ICU Bed Occupancy Rate,Staffed All Beds [Per 1000 People],Staffed All Beds [Per 1000 Adults (20+)],Staffed All Beds [Per 1000 Elderly (65+)],Staffed ICU Beds [Per 1000 People],Staffed ICU Beds [Per 1000 Adults (20+)],Staffed ICU Beds [Per 1000 Elderly (65+)]
5119,AR,0.67,0.78,9.321,12.488,59.926,0.716,0.959,4.601
5121,AR,0.16,0.04,1.783,2.403,8.941,0.111,0.15,0.559
5125,AR,0.54,0.54,1.705,2.282,9.599,0.132,0.176,0.742
5127,AR,0.13,,2.326,3.11,11.152,0,0,0
5131,AR,0.59,0.23,4.501,6.108,28.043,0.243,0.329,1.512
5133,AR,,,0,0,0,0,0,0
5123,AR,0.32,0.07,2.201,2.867,13.586,0.236,0.307,1.456
5137,AR,0.21,,2.007,2.542,7.319,0,0,0
5139,AR,0.31,0.5,2.837,3.847,15.819,0.409,0.555,2.28
5141,AR,,,0,0,0,0,0,0
5143,AR,0.6,0.49,3.671,5.128,31.285,0.257,0.36,2.194
5145,AR,0.65,0.7,2.947,4.015,17.94,0.165,0.225,1.005
5149,AR,0.38,,2.554,3.495,14.364,0,0,0
4001,AZ,0.3,,2.256,3.228,14.746,0,0,0
4003,AZ,0.37,0.29,1.065,1.409,4.766,0.095,0.125,0.424
4005,AZ,0.53,0.49,2.492,3.411,19.938,0.287,0.393,2.296
4007,AZ,0.52,0.33,0.928,1.189,3.225,0.148,0.19,0.516
4009,AZ,0.27,,1.497,2.148,10.734,0,0,0
4012,AZ,0.27,0.48,2.133,2.615,5.43,0.142,0.174,0.362
4013,AZ,0.64,0.58,2.299,3.128,15.15,0.209,0.284,1.378
4015,AZ,0.44,0.45,2.629,3.238,8.674,0.382,0.47,1.259
4017,AZ,0.42,0.69,1.594,2.252,8.796,0.109,0.154,0.6
4019,AZ,0.58,0.52,2.647,3.48,13.398,0.285,0.375,1.442
4021,AZ,0.4,0.5,0.897,1.193,4.4,0.054,0.071,0.263
4023,AZ,0.39,,0.538,0.765,2.969,0,0,0
4025,AZ,0.58,0.39,1.522,1.861,4.817,0.168,0.206,0.532
4027,AZ,0.48,0.4,2.154,2.997,11.474,0.198,0.275,1.055
6001,CA,0.59,0.54,2.138,2.772,15.461,0.194,0.251,1.401
